46,BAZAR,14
46,BAZAR,24
46,ELECTRONICA,12
46,IMPORTACION_5,5
46,JUGUETES,16
46,TEXTIL,7
46,BAZAR,5
47,ADORNOS,6
47,BAZAR,10
47,CRISTALERIA,5
47,BAZAR,165
47,ARTICULOS PARA HOGAR,5
47,ADORNOS,20
47,BAZAR,10
47,CRISTALERIA,18
48,ADORNOS,6
48,IMPORTACION_6,5
48,BAZAR,22
48,BAZAR,60
48,BAZAR,10
48,TEXTIL,20
48,PORCELANA,6
48,BAZAR,20
49,BAZAR,6
49,BAZAR,70
49,BAZAR,14
49,BAZAR,233
49,PORCELANA,5
49,PORCELANA,7
49,CRISTALERIA,12
49,BAZAR,24
50,BAZAR,100
50,ESCOLAR,10
50,ADORNOS,6
50,BAZAR,60
50,BAZAR,7
50,BAZAR,270
50,BAZAR,40
50,BAZAR,11
51,BAZAR,18
51,BAZAR,110
51,CRISTALERIA,12
51,BAZAR,17
51,BAZAR,15
52,BAZAR,6
52,BAZAR,36
52,OTROS,6
52,ARTICULOS PARA HOGAR,6
52,BAZAR,6
53,PORCELANA,12
53,ARTICULOS PARA HOGAR,5
53,ARTICULOS PARA HOGAR,16
53,BAZAR,20
53,CRISTALERIA,10
54,BAZAR,100
54,ARTICULOS PARA HOGAR,8
54,IMPORTACION_3,10
54,BAZAR,21
54,PORCELANA,6
55,BAZAR,10
55,ELECTRONICA,5
55,IMPORTACION_10,10
55,BAZAR,50
55,IMPORTACION_9,6
56,ELECTRONICA,12
56,ARTICULOS PARA HOGAR,18
56,BAZAR,180
56,ELECTRONICA,15
56,BAZAR,20
57,BAZAR,5
57,BAZAR,82
57,PORCELANA,18
57,JUGUETES,10
57,IMPORTACION_8,30
58,BAZAR,30
58,ELECTRONICA,48
58,JUGUETES,19
58,BAZAR,7
59,BAZAR,6
59,ADORNOS,6
59,BAZAR,22
59,BAZAR,5
60,BAZAR,12
60,BAZAR,60
60,BAZAR,36
60,IMPORTACION_8,5
61,BAZAR,50
61,BAZAR,240
61,BAZAR,24
61,BAZAR,10
62,BAZAR,6
62,BAZAR,40
62,ELECTRONICA,24
62,BAZAR,18
63,IMPORTACION_1,6
63,BAZAR,100
63,BAZAR,12
63,BAZAR,6
64,CRISTALERIA,6
64,BAZAR,300
64,IMPORTACION_1,12
64,CRISTALERIA,8
65,BAZAR,6
65,BAZAR,200
65,BAZAR,8
65,PORCELANA,6
66,PORCELANA,14
66,PORCELANA,6
66,JUGUETES,5
66,BAZAR,12
67,BAZAR,7
67,BAZAR,50
67,JUGUETES,7
67,ARTICULOS PARA HOGAR,5
68,PORCELANA,6
68,JUGUETES,18
68,ELECTRONICA,24
68,IMPORTACION_4,6
69,PORCELANA,8
69,BAZAR,12
69,BAZAR,350
69,CRISTALERIA,36
70,IMPORTACION_4,6
70,BAZAR,7
70,BAZAR,20
70,JUGUETES,5
71,IMPORTACION_4,24
71,JUGUETES,15
71,BAZAR,50
71,BAZAR,5
72,IMPORTACION_1,6
72,ADORNOS,6
72,BAZAR,5
72,PORCELANA,8
73,BAZAR,9
73,ELECTRONICA,120
73,BAZAR,355
73,CRISTALERIA,20
74,IMPORTACION_7,6
74,ELECTRONICA,96
74,IMPORTACION_6,5
74,BAZAR,12
75,IMPORTACION_6,14
75,BAZAR,50
75,BAZAR,60
75,BAZAR,6
76,IMPORTACION_7,16
76,BAZAR,12
76,BAZAR,12
76,BAZAR,12
77,BAZAR,10
77,BAZAR,11
77,BAZAR,116
77,BAZAR,24
78,BAZAR,8
78,BAZAR,5
78,BAZAR,49
78,ADORNOS,6
79,BAZAR,6
79,BAZAR,8
79,BAZAR,14
79,ARTICULOS PARA HOGAR,6
80,IMPORTACION_4,24
80,BAZAR,12
80,BAZAR,20
80,BAZAR,36
81,CRISTALERIA,14
81,BAZAR,7
81,BAZAR,9
81,JUGUETES,5
82,ARTICULOS PARA HOGAR,12
82,BAZAR,30
82,BAZAR,12
82,IMPORTACION_7,7
83,CRISTALERIA,7
83,BAZAR,15
83,BAZAR,5
83,BAZAR,24
84,PORCELANA,7
84,BAZAR,300
84,BAZAR,25
84,ARTICULOS PARA HOGAR,6
85,CRISTALERIA,6
85,ADORNOS,6
85,IMPORTACION_4,23
85,ESCOLAR  ,26
86,PORCELANA,12
86,BAZAR,70
86,CRISTALERIA,32
86,TEXTIL,10
87,PORCELANA,8
87,IMPORTACION_3,6
87,CRISTALERIA,7
87,TEXTIL,8
88,PORCELANA,6
88,IMPORTACION_1,6
88,ARTICULOS PARA HOGAR,10
88,BAZAR,12
89,BAZAR,9
89,ESCOLAR,6
89,BAZAR,53
89,BAZAR,36
90,BAZAR,18
90,BAZAR,150
90,BAZAR,10
90,ESCOLAR  ,10
91,IMPORTACION_1,96
91,BAZAR,50
91,BAZAR,15
91,BAZAR,10
92,IMPORTACION_1,36
92,JUGUETES,5
92,BAZAR,35
92,BAZAR,8
93,BAZAR,5
93,CRISTALERIA,12
93,BAZAR,50
93,ADORNOS,5
94,BAZAR,15
94,BAZAR,5
94,BAZAR,25
94,ARTICULOS PARA HOGAR,12
95,BAZAR,5
95,JUGUETES,24
95,BAZAR,72
95,CRISTALERIA,6
96,ELECTRONICA,12
96,JUGUETES,24
96,ELECTRONICA,84
96,BAZAR,105
97,BAZAR,5
97,BAZAR,12
97,PORCELANA,16
97,BAZAR,15
98,ADORNOS,16
98,BAZAR,24
98,IMPORTACION_8,18
98,BAZAR,50
99,ADORNOS,5
99,BAZAR,10
99,CRISTALERIA,12
99,IMPORTACION_4,6
100,ADORNOS,1200
100,PORCELANA,6
100,ARTICULOS PARA HOGAR,10
100,BAZAR,5
